Time,Temperature (°C),Feels Like (°C),Humidity (%),Wind (m/s),Precipitation (mm),Weather Emoji,Date
2025-12-02 00:00:00,1.3,-0.9,96,1.1,0.0,🌫️,2025-12-02
2025-12-02 01:00:00,0.0,-2.3,100,1.1,0.0,🌫️,2025-12-02
2025-12-02 02:00:00,-0.4,-2.8,100,1.6,0.0,🌫️,2025-12-02
2025-12-02 03:00:00,-0.2,-2.8,100,3.2,0.0,🌫️,2025-12-02
2025-12-02 04:00:00,0.1,-2.2,100,1.1,0.0,🌫️,2025-12-02
2025-12-02 05:00:00,0.1,-2.3,100,2.3,0.0,🌫️,2025-12-02
2025-12-02 06:00:00,0.1,-2.4,100,2.1,0.0,🌫️,2025-12-02
2025-12-02 07:00:00,-0.1,-2.7,100,2.5,0.0,🌫️,2025-12-02
2025-12-02 08:00:00,-0.5,-3.2,100,3.3,0.0,🌫️,2025-12-02
2025-12-02 09:00:00,-0.5,-3.3,100,4.0,0.0,🌫️,2025-12-02
2025-12-02 10:00:00,-0.3,-2.9,100,3.1,0.0,🌫️,2025-12-02
2025-12-02 11:00:00,0.4,-2.2,98,3.3,0.0,🌫️,2025-12-02
2025-12-02 12:00:00,1.1,-1.5,96,3.3,0.0,🌦️,2025-12-02
2025-12-02 13:00:00,1.8,-1.0,93,5.4,0.0,🌫️,2025-12-02
2025-12-02 14:00:00,2.0,-0.8,94,5.4,0.0,🌫️,2025-12-02
2025-12-02 15:00:00,2.3,-0.3,94,4.7,0.0,🌫️,2025-12-02
2025-12-02 16:00:00,2.3,-0.3,94,5.0,0.0,🌫️,2025-12-02
2025-12-02 17:00:00,2.2,-0.3,94,3.7,0.0,🌫️,2025-12-02
2025-12-02 18:00:00,2.2,-0.2,94,3.0,0.0,🌫️,2025-12-02
2025-12-02 19:00:00,2.3,-0.1,93,2.7,0.0,🌫️,2025-12-02
2025-12-02 20:00:00,2.4,0.1,93,3.1,0.0,☁️,2025-12-02
2025-12-02 21:00:00,2.4,0.1,93,2.5,0.0,☁️,2025-12-02
2025-12-02 22:00:00,2.6,0.4,92,2.2,0.0,☁️,2025-12-02
2025-12-02 23:00:00,2.9,0.8,92,1.5,0.0,☁️,2025-12-02
2025-12-03 00:00:00,2.9,0.8,92,1.6,0.0,🌦️,2025-12-03
2025-12-03 01:00:00,2.8,0.6,93,2.5,0.0,🌫️,2025-12-03
2025-12-03 02:00:00,2.7,0.6,94,2.2,0.0,🌫️,2025-12-03
2025-12-03 03:00:00,2.7,0.6,94,1.8,0.0,🌫️,2025-12-03
2025-12-03 04:00:00,2.9,1.0,94,0.7,0.0,🌧️,2025-12-03
2025-12-03 05:00:00,3.0,1.0,93,1.1,0.0,☁️,2025-12-03
2025-12-03 06:00:00,3.0,0.7,93,3.1,0.0,🌫️,2025-12-03
2025-12-03 07:00:00,3.0,0.8,93,2.5,0.0,🌫️,2025-12-03
2025-12-03 08:00:00,3.1,1.1,92,1.3,0.0,☁️,2025-12-03
2025-12-03 09:00:00,3.4,1.2,91,2.5,0.0,☁️,2025-12-03
2025-12-03 10:00:00,3.8,1.7,90,1.8,0.0,☁️,2025-12-03
2025-12-03 11:00:00,4.3,2.2,88,2.2,0.0,☁️,2025-12-03
2025-12-03 12:00:00,4.8,3.1,85,0.0,0.0,🌦️,2025-12-03
2025-12-03 13:00:00,5.2,3.4,83,0.4,0.0,☁️,2025-12-03
2025-12-03 14:00:00,5.2,3.2,84,1.8,0.0,☁️,2025-12-03
2025-12-03 15:00:00,5.3,3.5,84,0.5,0.0,☁️,2025-12-03
2025-12-03 16:00:00,5.2,3.2,85,2.4,0.0,☁️,2025-12-03
2025-12-03 17:00:00,4.9,2.8,88,3.4,0.0,☁️,2025-12-03
2025-12-03 18:00:00,4.8,2.7,89,3.0,0.0,☁️,2025-12-03
2025-12-03 19:00:00,4.7,2.9,89,1.6,0.0,☁️,2025-12-03
2025-12-03 20:00:00,4.8,3.1,89,0.8,0.0,☁️,2025-12-03
2025-12-03 21:00:00,4.8,3.0,90,1.0,0.0,☁️,2025-12-03
2025-12-03 22:00:00,4.6,2.7,92,2.1,0.0,☁️,2025-12-03
2025-12-03 23:00:00,4.5,2.6,91,1.6,0.0,☁️,2025-12-03
2025-12-04 00:00:00,4.5,2.5,92,2.4,0.0,☁️,2025-12-04
